Sample:   saxs_plrimg.txt               
q vector, Phi peak,  Center,    FWHM,    Area,  Height, Int. breadth, Chi-square, Red. Chi-square
 0.06425,   180.00,  178.05,  61.472, 7026.118,  85.674,      1.14205, 1071.33080,        14.47744
 0.06578,   178.00,  178.13,  60.266, 6800.865,  84.586,      1.11965, 1272.97651,        17.20239
 0.06731,   178.00,  178.22,  60.020, 6603.154,  82.464,      1.11508,  802.65369,        10.70205
 0.06884,   178.00,  178.34,  59.319, 6454.898,  81.565,      1.10205,  641.87318,         8.44570
 0.07037,   178.00,  178.20,  59.620, 6334.956,  79.646,      1.10764,  592.40865,         7.79485
 0.07190,   178.00,  178.28,  60.225, 6202.895,  77.202,      1.11889,  394.58550,         5.12449
 0.07343,   180.00,  178.45,  60.425, 6086.200,  75.499,      1.12259,  431.11103,         5.67251
 0.07496,   180.00,  178.11,  61.552, 6066.432,  73.876,      1.14353,  302.64572,         3.93046
 0.07649,   180.00,  177.85,  60.848, 5932.989,  73.086,      1.13046,  306.93011,         3.98611
 0.07802,   180.00,  178.06,  59.961, 5763.729,  72.051,      1.11399,  404.48776,         5.25309
 0.07955,   178.00,  177.96,  59.804, 5648.639,  70.798,      1.11107,  276.88038,         3.54975
 0.08108,   178.00,  177.77,  59.351, 5492.886,  69.372,      1.10264,  332.51420,         4.26300
 0.08261,   178.00,  178.26,  59.530, 5419.368,  68.238,      1.10597,  272.15155,         3.48912
 0.08414,   178.00,  178.40,  60.016, 5375.432,  67.136,      1.11500,  168.25409,         2.15710
 0.08566,   178.00,  178.18,  60.235, 5242.522,  65.238,      1.11907,  211.33160,         2.70938
 0.08719,   180.00,  177.95,  59.848, 5100.319,  63.879,      1.11188,  278.47231,         3.52497
 0.08872,   180.00,  178.17,  58.722, 4983.396,  63.611,      1.09096,  233.75069,         2.95887
 0.09025,   178.00,  177.86,  58.313, 4836.097,  62.163,      1.08337,  266.54042,         3.37393
 0.09178,   176.00,  177.90,  58.307, 4733.150,  60.846,      1.08326,  250.04325,         3.16510
 0.09331,   178.00,  178.31,  57.844, 4625.484,  59.938,      1.07466,  201.95305,         2.62277
 0.09484,   178.00,  178.24,  57.864, 4479.019,  58.021,      1.07501,  207.25139,         2.76335
 0.09637,   180.00,  178.14,  57.560, 4336.695,  56.473,      1.06938,  151.69753,         2.07805
 0.09790,   180.00,  177.87,  56.099, 4189.547,  55.978,      1.04224,  193.11207,         2.75874
 0.09943,   178.00,  177.83,  56.095, 4126.867,  55.145,      1.04216,  141.17776,         2.04605
 0.10096,   178.00,  177.72,  56.040, 4007.154,  53.598,      1.04113,  156.62643,         2.26995
 0.10249,   178.00,  177.32,  55.879, 3886.751,  52.137,      1.03815,  130.40594,         1.91773
 0.10402,   176.00,  177.61,  55.966, 3784.483,  50.686,      1.03976,  114.82355,         1.71378
 0.10555,   176.00,  177.63,  56.384, 3748.937,  49.838,      1.04753,  164.26514,         2.48887
 0.10708,   176.00,  177.73,  55.539, 3647.948,  49.233,      1.03183,  139.24348,         2.10975
 0.10861,   182.00,  177.66,  55.523, 3582.417,  48.363,      1.03154,  118.84978,         1.82846
 0.11014,   180.00,  177.80,  56.051, 3557.095,  47.569,      1.04133,  137.11017,         2.04642
 0.11167,   172.00,  177.72,  56.110, 3503.936,  46.809,      1.04243,  144.14250,         2.08902
 0.11320,   178.00,  178.33,  56.454, 3494.105,  46.393,      1.04883,  151.45569,         2.13318
 0.11473,   174.00,  178.45,  56.788, 3442.337,  45.436,      1.05504,  129.13279,         1.81877
 0.11626,   174.00,  178.20,  56.129, 3305.435,  44.142,      1.04279,  137.71637,         1.88653
 0.11779,   174.00,  178.38,  55.227, 3229.414,  43.831,      1.02603,  123.78013,         1.71917
 0.11932,   182.00,  178.35,  55.142, 3161.227,  42.972,      1.02445,  129.45037,         1.79792
 0.12085,   182.00,  178.12,  55.967, 3132.706,  41.956,      1.03978,  121.20205,         1.63787
 0.12238,   174.00,  178.45,  54.808, 3017.557,  41.269,      1.01824,  178.56794,         2.41308
 0.12391,   174.00,  178.30,  54.961, 2931.927,  39.986,      1.02109,  180.76534,         2.41020
 0.12544,   180.00,  177.89,  54.690, 2851.617,  39.083,      1.01606,  157.49327,         2.12829
 0.12697,   180.00,  177.80,  54.439, 2805.665,  38.631,      1.01139,  119.05304,         1.58737
 0.12850,   172.00,  177.95,  54.736, 2726.941,  37.343,      1.01691,  116.48149,         1.55309
